index	title	freq	cl_agl-20	cl_agl-50	cn_agl-20	cn_agl-50
0	resp	172682	14	27	resp | respiratory care | pulm [220,891]	resp | pulm | respiratory [196,536]
1	neuro	160003	19	39	neuro | n | nuero [169,844]	neuro | n | nuero [169,844]
2	cv	142843	15	32	cv | id | cardiac [283,370]	cv | cardiac | cvs [184,497]
3	gi	123485	5	34	gi | gu | endo [383,721]	gi | gi/gu | gu/gi [173,259]
4	plan	108943	13	13	plan | p | a [328,746]	plan | p | a [328,746]
5	gu	106284	5	25	gi | gu | endo [383,721]	gu | renal | g.u. [122,152]
6	p	84920	13	13	plan | p | a [328,746]	plan | p | a [328,746]
7	social	78863	3	5	social | skin | s [230,049]	social | soc | ms [101,834]
8	a	75410	13	13	plan | p | a [328,746]	plan | p | a [328,746]
9	id	73334	15	46	cv | id | cardiac [283,370]	id | i-d | i.d. [75,390]
10	skin	72990	3	35	social | skin | s [230,049]	skin | integ | derm [87,809]
11	o	67042	8	6	o | events | d [133,786]	o | events | d [123,792]
12	endo	56573	5	12	gi | gu | endo [383,721]	endo | heme | labs [88,310]
13	gi/gu	38663	5	34	gi | gu | endo [383,721]	gi | gi/gu | gu/gi [173,259]
14	fen	38127	11	23	fen | #9 fen | 9. fen [79,977]	fen | #9 fen | 9. fen [77,851]
15	a/p	38084	13	13	plan | p | a [328,746]	plan | p | a [328,746]
16	#9 o	32090	2	20	#9 o | #9 | 9. o [108,709]	#9 o | #9 | 9. o [75,943]
17	cardiac	22406	15	32	cv | id | cardiac [283,370]	cv | cardiac | cvs [184,497]
18	dev	18595	7	17	dev | g&d | g/d [68,560]	dev | g&d | g/d [62,245]
19	pe	17813	1	14	pe | abd | heent [111,880]	pe | chest | cvr [37,348]
20	heme	17252	5	12	gi | gu | endo [383,721]	endo | heme | labs [88,310]
21	#9	16649	2	20	#9 o | #9 | 9. o [108,709]	#9 o | #9 | 9. o [75,943]
22	access	15282	15	21	cv | id | cardiac [283,370]	access | lines | iv [23,483]
23	start date	14846	16	33	start date [14,846]	start date [14,846]
24	s	12946	3	2	social | skin | s [230,049]	s | pain | activity [40,406]
25	respiratory care	12937	14	41	resp | respiratory care | pulm [220,891]	respiratory care | resp care | respiratory care note [24,355]
26	events	12745	8	6	o | events | d [133,786]	o | events | d [123,792]
27	abd	10906	1	19	pe | abd | heent [111,880]	abd | ext | respr [25,458]
28	pain	10610	3	2	social | skin | s [230,049]	s | pain | activity [40,406]
29	pulm	10262	14	27	resp | respiratory care | pulm [220,891]	resp | pulm | respiratory [196,536]
30	renal	9090	5	25	gi | gu | endo [383,721]	gu | renal | g.u. [122,152]
31	d	8994	8	6	o | events | d [133,786]	o | events | d [123,792]
32	9. o	8516	2	20	#9 o | #9 | 9. o [108,709]	#9 o | #9 | 9. o [75,943]
33	nutrition	8251	12	31	nutrition | a/goals | ln [23,138]	nutrition | a/goals [16,070]
34	heent	7980	1	8	pe | abd | heent [111,880]	heent | general | gen [23,494]
35	a/goals	7819	12	31	nutrition | a/goals | ln [23,138]	nutrition | a/goals [16,070]
36	s/o	7713	8	6	o | events | d [133,786]	o | events | d [123,792]
37	ext	7607	1	19	pe | abd | heent [111,880]	abd | ext | respr [25,458]
38	9. resp	7443	2	26	#9 o | #9 | 9. o [108,709]	9. resp | #9 resp | resp o/a [28,795]
39	cvs	7096	15	32	cv | id | cardiac [283,370]	cv | cardiac | cvs [184,497]
40	ln	7068	12	30	nutrition | a/goals | ln [23,138]	ln [7,068]
41	parenting	7016	9	16	parenting | 9 | [** **] [74,008]	parenting | parents | par [41,833]
42	assessment/plan	7003	1	9	pe | abd | heent [111,880]	assessment/plan | imp | plans [19,418]
43	wt	6909	4	49	wt | hc | birth wt [30,514]	wt | birth wt [7,989]
